date,inclinometer adc,load adc,tank lvl,stuff box lvl,pressure,flow
('2020122915501515',385,276,877,528,519,469)
('2020122915501525',407,236,660,750,740,425)
('2020122915501535',597,227,934,402,337,6)
('2020122915501545',565,289,336,280,471,116)
('2020122915501555',597,242,25,935,294,821)
('2020122915501565',625,332,692,817,711,540)
('2020122915501575',702,349,1022,720,165,777)
('2020122915501585',613,246,197,759,255,733)
('2020122915501595',618,248,797,1,6,149)
('2020122915501605',373,316,803,309,809,795)
('2020122915501615',691,383,362,699,43,519)
('2020122915501625',405,280,247,935,451,243)
('2020122915501635',697,348,1008,950,734,742)
('2020122915501646',448,390,882,68,771,619)
('2020122915501656',615,275,637,728,820,921)
('2020122915501666',490,268,252,907,1022,876)
('2020122915501676',464,327,541,325,1020,65)
('2020122915501686',359,313,164,363,258,463)
('2020122915501696',363,361,364,482,421,913)
('2020122915501706',684,211,960,249,20,509)
('2020122915501716',308,239,961,569,2,962)
('2020122915501726',426,261,40,236,798,151)
('2020122915501736',473,380,903,416,873,413)
('2020122915501746',560,277,502,931,744,113)
('2020122915501756',401,330,633,982,30,686)
('2020122915501766',662,265,638,508,888,575)
('2020122915501776',339,307,270,544,873,250)
('2020122915501786',386,378,416,10,327,746)
('2020122915501796',604,321,1017,105,653,921)
('2020122915501807',710,362,838,397,663,876)
('2020122915501817',318,223,745,907,841,546)
('2020122915501827',496,274,925,574,865,73)
('2020122915501837',455,307,0,329,45,804)
('2020122915501847',670,312,784,4,885,1007)
('2020122915501857',643,206,177,100,346,276)
('2020122915501867',543,220,762,499,81,301)
('2020122915501877',665,329,824,168,351,234)
('2020122915501887',615,363,682,921,555,815)
('2020122915501897',490,282,648,859,960,458)
('2020122915501907',338,294,181,888,329,883)
('2020122915501917',521,390,397,283,23,607)
('2020122915501927',503,212,34,211,840,275)
('2020122915501937',720,232,716,771,749,40)
('2020122915501947',445,241,755,302,195,937)
('2020122915501957',547,249,917,78,191,841)
('2020122915501968',494,386,879,442,361,929)
('2020122915501978',587,237,373,769,196,875)
('2020122915501988',359,292,101,65,975,197)
('2020122915501998',670,246,697,633,25,174)
('2020122915502008',381,282,677,765,208,112)
('2020122915502018',390,382,72,904,608,501)
